race_id,series,driver_key,driver_quality
F1_2020_1039_tuscan_grand_prix,F1,849,0.7187102148549765
F1_2020_1040_russian_grand_prix,F1,1,-0.6638809710975151
F1_2020_1040_russian_grand_prix,F1,154,0.7047226593633495
F1_2020_1040_russian_grand_prix,F1,20,0.11660474821142791
F1_2020_1040_russian_grand_prix,F1,8,0.36689836603475035
F1_2020_1040_russian_grand_prix,F1,815,-0.3339344722566828
F1_2020_1040_russian_grand_prix,F1,817,0.08445045560234196
F1_2020_1040_russian_grand_prix,F1,822,0.19131784836116228
F1_2020_1040_russian_grand_prix,F1,825,0.44114358946867643
F1_2020_1040_russian_grand_prix,F1,826,0.1508645401031332
F1_2020_1040_russian_grand_prix,F1,830,-0.9895796343114753
F1_2020_1040_russian_grand_prix,F1,839,0.22670184319973816
F1_2020_1040_russian_grand_prix,F1,841,0.3285096771862548
F1_2020_1040_russian_grand_prix,F1,842,0.16440738494666327
F1_2020_1040_russian_grand_prix,F1,844,-0.6093774604129749
F1_2020_1040_russian_grand_prix,F1,846,-0.47803500230556
F1_2020_1040_russian_grand_prix,F1,847,-0.26189264300783094
F1_2020_1040_russian_grand_prix,F1,848,0.1826018058973681
F1_2020_1040_russian_grand_prix,F1,849,0.7002765296575734
F1_2020_1041_eifel_grand_prix,F1,1,-0.6595895338621398
F1_2020_1041_eifel_grand_prix,F1,154,0.6969548454236976
F1_2020_1041_eifel_grand_prix,F1,20,0.12199875640842696
F1_2020_1041_eifel_grand_prix,F1,8,0.36430097381096815
F1_2020_1041_eifel_grand_prix,F1,807,0.24780630788076774
F1_2020_1041_eifel_grand_prix,F1,815,-0.33615260817735404
F1_2020_1041_eifel_grand_prix,F1,817,0.08372112070325863
F1_2020_1041_eifel_grand_prix,F1,822,0.19876804293238837
F1_2020_1041_eifel_grand_prix,F1,825,0.44273969425804044
F1_2020_1041_eifel_grand_prix,F1,826,0.11965436536084054
F1_2020_1041_eifel_grand_prix,F1,830,-0.9862033030805958
F1_2020_1041_eifel_grand_prix,F1,832,-0.3009750267935483
F1_2020_1041_eifel_grand_prix,F1,839,0.22678963928514084
F1_2020_1041_eifel_grand_prix,F1,841,0.3345649260667612
F1_2020_1041_eifel_grand_prix,F1,842,0.16295053766662346
F1_2020_1041_eifel_grand_prix,F1,844,-0.6110610296648419
F1_2020_1041_eifel_grand_prix,F1,846,-0.4746047192144692
F1_2020_1041_eifel_grand_prix,F1,847,-0.2601941111560074
F1_2020_1041_eifel_grand_prix,F1,848,0.18454707811362275
F1_2020_1041_eifel_grand_prix,F1,849,0.7077193170101994
F1_2020_1042_portuguese_grand_prix,F1,1,-0.660160097017152
F1_2020_1042_portuguese_grand_prix,F1,154,0.6881157061202791
F1_2020_1042_portuguese_grand_prix,F1,20,0.12487112214417127
F1_2020_1042_portuguese_grand_prix,F1,8,0.3762549201467382
F1_2020_1042_portuguese_grand_prix,F1,815,-0.33469063013277245
F1_2020_1042_portuguese_grand_prix,F1,817,0.0774519489602994
F1_2020_1042_portuguese_grand_prix,F1,822,0.19233439262968435
F1_2020_1042_portuguese_grand_prix,F1,825,0.43808928847400297
F1_2020_1042_portuguese_grand_prix,F1,826,0.11354254823585051
F1_2020_1042_portuguese_grand_prix,F1,830,-0.9901590301752816
F1_2020_1042_portuguese_grand_prix,F1,832,-0.30201593137618143
F1_2020_1042_portuguese_grand_prix,F1,839,0.22640152686677206
F1_2020_1042_portuguese_grand_prix,F1,840,0.2593004909740191
F1_2020_1042_portuguese_grand_prix,F1,841,0.32109902938630774
F1_2020_1042_portuguese_grand_prix,F1,842,0.16355873915938296
F1_2020_1042_portuguese_grand_prix,F1,844,-0.6070972688636278
F1_2020_1042_portuguese_grand_prix,F1,846,-0.47409262367310406
F1_2020_1042_portuguese_grand_prix,F1,847,-0.2586020990649377
F1_2020_1042_portuguese_grand_prix,F1,848,0.1845323892640425
F1_2020_1042_portuguese_grand_prix,F1,849,0.7012311433275219
F1_2020_1043_emilia_romagna_grand_prix,F1,1,-0.6580354570880894
F1_2020_1043_emilia_romagna_grand_prix,F1,154,0.6811638947051564
F1_2020_1043_emilia_romagna_grand_prix,F1,20,0.12302433402957612
F1_2020_1043_emilia_romagna_grand_prix,F1,8,0.3678576154584621
F1_2020_1043_emilia_romagna_grand_prix,F1,815,-0.33765786852105617
F1_2020_1043_emilia_romagna_grand_prix,F1,817,0.07770218984292392
F1_2020_1043_emilia_romagna_grand_prix,F1,822,0.19070734903487938
F1_2020_1043_emilia_romagna_grand_prix,F1,825,0.437828404946829
F1_2020_1043_emilia_romagna_grand_prix,F1,826,0.1538863166347527
F1_2020_1043_emilia_romagna_grand_prix,F1,830,-0.9865328511731051
F1_2020_1043_emilia_romagna_grand_prix,F1,832,-0.3015892803339371
F1_2020_1043_emilia_romagna_grand_prix,F1,839,0.2237092896021549
F1_2020_1043_emilia_romagna_grand_prix,F1,840,0.260182198215518
F1_2020_1043_emilia_romagna_grand_prix,F1,841,0.32604112005944835
F1_2020_1043_emilia_romagna_grand_prix,F1,842,0.16725183908622387
F1_2020_1043_emilia_romagna_grand_prix,F1,844,-0.6101915139094471
F1_2020_1043_emilia_romagna_grand_prix,F1,846,-0.4750178889504401
F1_2020_1043_emilia_romagna_grand_prix,F1,847,-0.25858235641101573
F1_2020_1043_emilia_romagna_grand_prix,F1,848,0.18356618392149165
F1_2020_1043_emilia_romagna_grand_prix,F1,849,0.7058154353290974
F1_2020_1044_turkish_grand_prix,F1,1,-0.6672364159627081
F1_2020_1044_turkish_grand_prix,F1,154,0.6661420673645944
F1_2020_1044_turkish_grand_prix,F1,20,0.13011677667443494
F1_2020_1044_turkish_grand_prix,F1,8,0.3691679700759568
F1_2020_1044_turkish_grand_prix,F1,815,-0.3389631203933866
F1_2020_1044_turkish_grand_prix,F1,817,0.07752197339408562
F1_2020_1044_turkish_grand_prix,F1,822,0.18266551601179495
F1_2020_1044_turkish_grand_prix,F1,825,0.4429290327288802
F1_2020_1044_turkish_grand_prix,F1,826,0.1383542768102729
F1_2020_1044_turkish_grand_prix,F1,830,-0.9935834248361595
F1_2020_1044_turkish_grand_prix,F1,832,-0.2987069975839518
F1_2020_1044_turkish_grand_prix,F1,839,0.22600958242271987
F1_2020_1044_turkish_grand_prix,F1,840,0.2599659730596609
F1_2020_1044_turkish_grand_prix,F1,841,0.3335377434313911
F1_2020_1044_turkish_grand_prix,F1,842,0.16166405170619222
F1_2020_1044_turkish_grand_prix,F1,844,-0.6077924966658932
F1_2020_1044_turkish_grand_prix,F1,846,-0.4739518255141783
F1_2020_1044_turkish_grand_prix,F1,847,-0.26115506041371384
F1_2020_1044_turkish_grand_prix,F1,848,0.18394344767283988
F1_2020_1044_turkish_grand_prix,F1,849,0.686047986263276
F1_2020_1045_bahrain_grand_prix,F1,1,-0.6653479533300164
F1_2020_1045_bahrain_grand_prix,F1,20,0.11451143490766993
F1_2020_1045_bahrain_grand_prix,F1,8,0.36464073408330866
F1_2020_1045_bahrain_grand_prix,F1,815,-0.33603666287411604
F1_2020_1045_bahrain_grand_prix,F1,817,0.07859032929079851
F1_2020_1045_bahrain_grand_prix,F1,822,0.18469822431294267
F1_2020_1045_bahrain_grand_prix,F1,825,0.4317365199958686
F1_2020_1045_bahrain_grand_prix,F1,826,0.12389966776723083
F1_2020_1045_bahrain_grand_prix,F1,830,-0.9909594768586935
F1_2020_1045_bahrain_grand_prix,F1,832,-0.29962831471258133
F1_2020_1045_bahrain_grand_prix,F1,839,0.22623579656894965
F1_2020_1045_bahrain_grand_prix,F1,840,0.2623328611881691
F1_2020_1045_bahrain_grand_prix,F1,841,0.31792027827581915
F1_2020_1045_bahrain_grand_prix,F1,842,0.16344153395192243
F1_2020_1045_bahrain_grand_prix,F1,844,-0.6111504842244937
F1_2020_1045_bahrain_grand_prix,F1,846,-0.47267135301059915
F1_2020_1045_bahrain_grand_prix,F1,847,-0.2598059367490714
F1_2020_1045_bahrain_grand_prix,F1,848,0.18570234709377995
F1_2020_1045_bahrain_grand_prix,F1,849,0.7029342168462045
F1_2020_1046_sakhir_grand_prix,F1,20,0.12094924912263018
F1_2020_1046_sakhir_grand_prix,F1,8,0.3583761998894941
F1_2020_1046_sakhir_grand_prix,F1,815,-0.33653040645308435
F1_2020_1046_sakhir_grand_prix,F1,817,0.08104008353363526
F1_2020_1046_sakhir_grand_prix,F1,822,0.1880186985364966
F1_2020_1046_sakhir_grand_prix,F1,825,0.43421956318250515
F1_2020_1046_sakhir_grand_prix,F1,826,0.15454899752908957
F1_2020_1046_sakhir_grand_prix,F1,832,-0.29992220695572774
F1_2020_1046_sakhir_grand_prix,F1,839,0.22634595078250527
F1_2020_1046_sakhir_grand_prix,F1,840,0.26050278710217434
F1_2020_1046_sakhir_grand_prix,F1,841,0.3269051314898899
F1_2020_1046_sakhir_grand_prix,F1,842,0.1636799273706243
F1_2020_1046_sakhir_grand_prix,F1,846,-0.47526218876445725
F1_2020_1046_sakhir_grand_prix,F1,847,-0.24753198235277046
F1_2020_1046_sakhir_grand_prix,F1,848,0.18314410130502445
F1_2020_1046_sakhir_grand_prix,F1,849,0.706259963649139
F1_2020_1046_sakhir_grand_prix,F1,850,1.256332242197499
F1_2020_1046_sakhir_grand_prix,F1,851,NA
F1_2020_1047_abu_dhabi_grand_prix,F1,1,-0.6622676996464496
F1_2020_1047_abu_dhabi_grand_prix,F1,20,0.11998420313508434
