race_id,series,year,race_file,driver_key,race_laps,race_relative_pace,race_relative_time
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,830,51,-1.4181996488858801,-1.2989999999999924
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,832,51,-0.21127484705057323,-0.18599999999999284
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,839,52,0.05090866009645788,0.040500000000001535
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,840,52,0.005305663105135864,0.0049999999999954525
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,841,52,0.417888185138562,0.4572499999999948
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,842,52,0.1422757797914612,0.12400000000000233
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,844,52,-0.3083165210009514,-0.25500000000000256
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,846,52,-0.1884157878192071,-0.18299999999999272
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,847,52,0.5541271623049753,0.509999999999998
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,848,50,-0.6991733199212502,-0.75
F1_2020_1034_british_grand_prix,F1,2020,1034_british_grand_prix,849,52,0.8043908411369162,0.643499999999996
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,1,50,-0.9562563993419857,-0.8462500000000048
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,154,49,0.8297277441152393,0.757000000000005
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,20,50,0,0
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,8,50,1.188872731019788,1.0817499999999995
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,807,50,-0.4213258949227373,-0.40050000000000807
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,817,48,-0.0063296034200985415,-0.00549999999999784
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,822,50,-0.8467863201909206,-0.8052500000000009
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,825,41,1.0092356423737006,1.0379999999999967
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,826,50,0,0
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,830,50,-1.2604095781472133,-1.1587499999999977
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,832,50,0,0
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,839,51,0.2449531137222843,0.2920000000000016
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,840,50,-0.3106625123324943,-0.26575000000000415
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,841,49,1.0295879625639297,1.1820000000000022
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,842,50,-0.032332332640504266,-0.03750000000000142
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,844,51,-0.4687289620978169,-0.4370000000000118
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,846,50,-0.07149325658690597,-0.05799999999999983
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,847,48,0.6758335567856452,0.6129999999999995
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,848,51,-0.6350583241738714,-0.6170000000000044
F1_2020_1035_70th_anniversary_grand_prix,F1,2020,1035_70th_anniversary_grand_prix,849,48,0.7970614205166129,0.75
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,1,64,-1.5241605130049096,-1.926000000000002
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,154,61,0.6520349440551307,0.7480000000000047
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,20,65,0.06556477006284345,0.09049999999999159
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,8,62,0.26140559630044474,0.29724999999999824
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,815,65,-0.00900726379193046,-0.04899999999999238
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,817,64,0.056948295734117,0.07099999999999795
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,822,63,-1.23334532544867,-1.4545000000000101
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,825,64,0.503338162756261,0.5602499999999964
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,826,64,0.002617162284684699,0.001999999999995339
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,830,65,-1.2556769391470102,-1.4550000000000125
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,832,63,-0.18915918172275234,-0.16600000000001103
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,839,64,0.3838385178847981,0.386250000000004
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,840,63,-0.246734487239822,-0.29299999999999216
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,841,64,0.5564165315589122,0.6100000000000065
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,842,64,-0.1029803341723651,-0.11075000000000301
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,844,36,-0.08628437011238048,-0.08299999999999841
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,846,64,-0.022530032398831834,-0.03549999999999898
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,847,63,0.7107459964695693,0.7049999999999983
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,848,63,0,0
F1_2020_1036_spanish_grand_prix,F1,2020,1036_spanish_grand_prix,849,62,0.40600648193591177,0.47675000000000267
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,1,44,-1.3320168725374155,-1.7014999999999958
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,154,44,0.7258465935308587,0.7989999999999995
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,20,44,0.4948887654272995,0.6104999999999947
F1_2020_1037_belgian_grand_prix,F1,2020,1037_belgian_grand_prix,8,44,0.4592223445721936,0.5529999999999973
